concept:name,lifecycle:transition,time:timestamp
Start,start,2011-06-15 00:06:32+00:00
Start,complete,2011-06-15 00:06:32+00:00
sleep,start,2011-06-15 00:06:32+00:00
sleep,complete,2011-06-15 03:38:29+00:00
toilet,start,2011-06-15 03:38:44+00:00
toilet,complete,2011-06-15 03:41:22+00:00
sleep,start,2011-06-15 03:41:31+00:00
sleep,complete,2011-06-15 08:46:23+00:00
toilet,start,2011-06-15 08:46:36+00:00
toilet,complete,2011-06-15 08:49:39+00:00
dress,start,2011-06-15 08:51:15+00:00
dress,complete,2011-06-15 08:52:27+00:00
sleep,start,2011-06-15 08:54:15+00:00
sleep,complete,2011-06-15 09:48:31+00:00
toilet,start,2011-06-15 09:48:54+00:00
toilet,complete,2011-06-15 09:55:42+00:00
mealpreperation,start,2011-06-15 09:58:39+00:00
mealpreperation,complete,2011-06-15 10:02:51+00:00
eatingdrinking,start,2011-06-15 10:02:55+00:00
eatingdrinking,complete,2011-06-15 10:26:50+00:00
cleaning,start,2011-06-15 10:26:55+00:00
cleaning,complete,2011-06-15 10:28:58+00:00
relax,start,2011-06-15 10:29:17+00:00
relax,complete,2011-06-15 12:09:05+00:00
personalhygiene,start,2011-06-15 12:09:27+00:00
personalhygiene,complete,2011-06-15 12:14:16+00:00
work,start,2011-06-15 12:14:20+00:00
work,complete,2011-06-15 12:40:35+00:00
bathe,start,2011-06-15 12:40:37+00:00
bathe,complete,2011-06-15 12:52:01+00:00
groom,start,2011-06-15 12:52:36+00:00
groom,complete,2011-06-15 12:58:45+00:00
toilet,start,2011-06-15 12:59:26+00:00
toilet,complete,2011-06-15 13:01:16+00:00
mealpreperation,start,2011-06-15 13:01:40+00:00
mealpreperation,complete,2011-06-15 13:13:04+00:00
eatingdrinking,start,2011-06-15 13:13:07+00:00
eatingdrinking,complete,2011-06-15 13:36:31+00:00
cleaning,start,2011-06-15 13:36:32+00:00
cleaning,complete,2011-06-15 13:39:58+00:00
read,start,2011-06-15 13:42:39+00:00
read,complete,2011-06-15 15:19:35+00:00
relax,start,2011-06-15 15:21:14+00:00
relax,complete,2011-06-15 16:04:34+00:00
toilet,start,2011-06-15 16:05:37+00:00
toilet,complete,2011-06-15 16:07:54+00:00
personalhygiene,start,2011-06-15 16:08:12+00:00
personalhygiene,complete,2011-06-15 16:17:41+00:00
snack,start,2011-06-15 16:19:13+00:00
snack,complete,2011-06-15 16:22:54+00:00
personalhygiene,start,2011-06-15 16:45:43+00:00
personalhygiene,complete,2011-06-15 17:26:55+00:00
watchtv,start,2011-06-15 17:28:59+00:00
watchtv,complete,2011-06-15 17:43:02+00:00
outdoors,start,2011-06-15 17:43:04+00:00
outdoors,complete,2011-06-15 17:51:35+00:00
mealpreperation,start,2011-06-15 17:55:11+00:00
mealpreperation,complete,2011-06-15 18:14:48+00:00
eatingdrinking,start,2011-06-15 18:14:53+00:00
eatingdrinking,complete,2011-06-15 18:21:49+00:00
relax,start,2011-06-15 18:22:02+00:00
relax,complete,2011-06-15 18:45:51+00:00
cleaning,start,2011-06-15 18:46:16+00:00
cleaning,complete,2011-06-15 18:47:33+00:00
personalhygiene,start,2011-06-15 18:58:56+00:00
personalhygiene,complete,2011-06-15 19:10:13+00:00
outdoors,start,2011-06-15 19:12:23+00:00
outdoors,complete,2011-06-15 20:41:25+00:00
snack,start,2011-06-15 21:05:10+00:00
snack,complete,2011-06-15 21:09:43+00:00
relax,start,2011-06-15 21:10:09+00:00
relax,complete,2011-06-15 21:43:01+00:00
cleaning,start,2011-06-15 21:43:21+00:00
cleaning,complete,2011-06-15 21:48:12+00:00
relax,start,2011-06-15 21:48:29+00:00
relax,complete,2011-06-15 22:42:55+00:00
personalhygiene,start,2011-06-15 22:54:04+00:00
personalhygiene,complete,2011-06-15 23:19:40+00:00
sleep,start,2011-06-15 23:20:09+00:00
sleep,complete,2011-06-16 07:00:40+00:00
End,start,2011-06-16 07:00:40+00:00
End,complete,2011-06-16 07:00:40+00:00
Start,start,2011-06-16 07:00:53+00:00
Start,complete,2011-06-16 07:00:53+00:00
toilet,start,2011-06-16 07:00:53+00:00
toilet,complete,2011-06-16 07:05:10+00:00
sleep,start,2011-06-16 07:07:03+00:00
sleep,complete,2011-06-16 08:01:44+00:00
snack,start,2011-06-16 08:02:39+00:00
snack,complete,2011-06-16 08:04:19+00:00
relax,start,2011-06-16 08:04:21+00:00
relax,complete,2011-06-16 08:23:55+00:00
mealpreperation,start,2011-06-16 08:23:56+00:00
mealpreperation,complete,2011-06-16 08:27:06+00:00
bathe,start,2011-06-16 08:29:58+00:00
bathe,complete,2011-06-16 08:49:27+00:00
dress,start,2011-06-16 08:49:30+00:00
dress,complete,2011-06-16 08:53:48+00:00
personalhygiene,start,2011-06-16 08:56:28+00:00
personalhygiene,complete,2011-06-16 09:19:46+00:00
outdoors,start,2011-06-16 09:26:20+00:00
outdoors,complete,2011-06-16 12:54:04+00:00
snack,start,2011-06-16 12:56:42+00:00
snack,complete,2011-06-16 13:00:18+00:00
mealpreperation,start,2011-06-16 13:04:01+00:00
mealpreperation,complete,2011-06-16 13:09:52+00:00
eatingdrinking,start,2011-06-16 13:09:53+00:00
eatingdrinking,complete,2011-06-16 13:26:21+00:00
cleaning,start,2011-06-16 13:26:22+00:00
cleaning,complete,2011-06-16 13:27:05+00:00
work,start,2011-06-16 13:36:00+00:00
work,complete,2011-06-16 13:42:24+00:00
sleep,start,2011-06-16 13:44:57+00:00
sleep,complete,2011-06-16 14:45:17+00:00
toilet,start,2011-06-16 14:45:32+00:00
toilet,complete,2011-06-16 14:51:42+00:00
outdoors,start,2011-06-16 14:56:41+00:00
outdoors,complete,2011-06-16 16:13:22+00:00
work,start,2011-06-16 16:13:29+00:00
work,complete,2011-06-16 16:18:02+00:00
snack,start,2011-06-16 16:28:51+00:00
snack,complete,2011-06-16 16:32:01+00:00
relax,start,2011-06-16 16:32:05+00:00
relax,complete,2011-06-16 17:10:45+00:00
outdoors,start,2011-06-16 17:11:37+00:00
outdoors,complete,2011-06-16 17:18:18+00:00
snack,start,2011-06-16 17:20:08+00:00
snack,complete,2011-06-16 17:28:27+00:00
relax,start,2011-06-16 17:28:33+00:00
relax,complete,2011-06-16 18:21:42+00:00
mealpreperation,start,2011-06-16 18:21:55+00:00
mealpreperation,complete,2011-06-16 18:33:47+00:00
eatingdrinking,start,2011-06-16 18:33:52+00:00
eatingdrinking,complete,2011-06-16 18:54:21+00:00
cleaning,start,2011-06-16 18:54:37+00:00
cleaning,complete,2011-06-16 18:57:15+00:00
watchtv,start,2011-06-16 19:10:24+00:00
watchtv,complete,2011-06-16 20:11:10+00:00
snack,start,2011-06-16 20:11:24+00:00
snack,complete,2011-06-16 20:25:27+00:00
toilet,start,2011-06-16 20:25:50+00:00
toilet,complete,2011-06-16 20:28:11+00:00
snack,start,2011-06-16 20:40:53+00:00
snack,complete,2011-06-16 20:48:06+00:00
toilet,start,2011-06-16 20:49:29+00:00
toilet,complete,2011-06-16 20:50:19+00:00
relax,start,2011-06-16 20:51:43+00:00
relax,complete,2011-06-16 21:03:27+00:00
personalhygiene,start,2011-06-16 21:05:56+00:00
personalhygiene,complete,2011-06-16 21:50:56+00:00
sleep,start,2011-06-16 21:52:07+00:00
sleep,complete,2011-06-17 04:35:20+00:00
End,start,2011-06-17 04:35:20+00:00
End,complete,2011-06-17 04:35:20+00:00
Start,start,2011-06-17 04:35:43+00:00
Start,complete,2011-06-17 04:35:43+00:00
toilet,start,2011-06-17 04:35:43+00:00
toilet,complete,2011-06-17 04:38:44+00:00
sleep,start,2011-06-17 04:38:54+00:00
sleep,complete,2011-06-17 08:22:45+00:00
medication,start,2011-06-17 08:23:06+00:00
medication,complete,2011-06-17 08:28:10+00:00
sleep,start,2011-06-17 08:29:53+00:00
sleep,complete,2011-06-17 09:52:42+00:00
toilet,start,2011-06-17 09:53:22+00:00
toilet,complete,2011-06-17 09:58:27+00:00
mealpreperation,start,2011-06-17 10:03:42+00:00
mealpreperation,complete,2011-06-17 10:07:58+00:00
relax,start,2011-06-17 10:08:01+00:00
relax,complete,2011-06-17 12:32:09+00:00
toilet,start,2011-06-17 12:32:16+00:00
toilet,complete,2011-06-17 12:35:00+00:00
mealpreperation,start,2011-06-17 12:35:15+00:00
mealpreperation,complete,2011-06-17 12:37:06+00:00
relax,start,2011-06-17 12:37:09+00:00
relax,complete,2011-06-17 14:04:19+00:00
toilet,start,2011-06-17 14:04:25+00:00
toilet,complete,2011-06-17 14:06:35+00:00
snack,start,2011-06-17 14:07:27+00:00
snack,complete,2011-06-17 14:14:02+00:00
eatingdrinking,start,2011-06-17 14:14:05+00:00
eatingdrinking,complete,2011-06-17 14:30:31+00:00
cleaning,start,2011-06-17 14:30:33+00:00
cleaning,complete,2011-06-17 14:37:41+00:00
work,start,2011-06-17 14:39:31+00:00
work,complete,2011-06-17 14:56:17+00:00
relax,start,2011-06-17 14:58:19+00:00
relax,complete,2011-06-17 15:50:55+00:00
snack,start,2011-06-17 15:50:59+00:00
snack,complete,2011-06-17 15:56:17+00:00
relax,start,2011-06-17 15:56:32+00:00
relax,complete,2011-06-17 17:14:33+00:00
personalhygiene,start,2011-06-17 17:15:28+00:00
personalhygiene,complete,2011-06-17 17:25:26+00:00
relax,start,2011-06-17 17:25:40+00:00
relax,complete,2011-06-17 17:58:26+00:00
toilet,start,2011-06-17 17:58:36+00:00
toilet,complete,2011-06-17 18:01:03+00:00
snack,start,2011-06-17 18:05:33+00:00
snack,complete,2011-06-17 18:07:15+00:00
relax,start,2011-06-17 18:07:19+00:00
relax,complete,2011-06-17 18:29:32+00:00
mealpreperation,start,2011-06-17 18:29:48+00:00
mealpreperation,complete,2011-06-17 18:45:16+00:00
eatingdrinking,start,2011-06-17 18:45:29+00:00
eatingdrinking,complete,2011-06-17 18:58:58+00:00
cleaning,start,2011-06-17 19:02:02+00:00
cleaning,complete,2011-06-17 19:05:02+00:00
watchtv,start,2011-06-17 19:05:16+00:00
watchtv,complete,2011-06-17 19:36:52+00:00
snack,start,2011-06-17 19:36:56+00:00
snack,complete,2011-06-17 19:44:24+00:00
watchtv,start,2011-06-17 19:44:47+00:00
watchtv,complete,2011-06-17 19:57:42+00:00
personalhygiene,start,2011-06-17 20:34:22+00:00
personalhygiene,complete,2011-06-17 21:17:48+00:00
read,start,2011-06-17 21:18:28+00:00
read,complete,2011-06-17 22:36:11+00:00
sleep,start,2011-06-17 22:48:52+00:00
sleep,complete,2011-06-18 07:33:24+00:00
End,start,2011-06-18 07:33:24+00:00
End,complete,2011-06-18 07:33:24+00:00
Start,start,2011-06-20 00:01:00+00:00
Start,complete,2011-06-20 00:01:00+00:00
sleep,start,2011-06-20 00:01:00+00:00
sleep,complete,2011-06-20 04:42:33+00:00
toilet,start,2011-06-20 04:43:00+00:00
toilet,complete,2011-06-20 04:47:06+00:00
sleep,start,2011-06-20 04:47:14+00:00
sleep,complete,2011-06-20 08:47:13+00:00
personalhygiene,start,2011-06-20 08:48:19+00:00
personalhygiene,complete,2011-06-20 08:52:13+00:00
sleep,start,2011-06-20 08:54:16+00:00
sleep,complete,2011-06-20 10:14:38+00:00
relax,start,2011-06-20 10:25:19+00:00
relax,complete,2011-06-20 10:50:04+00:00
mealpreperation,start,2011-06-20 10:50:17+00:00
mealpreperation,complete,2011-06-20 11:09:15+00:00
eatingdrinking,start,2011-06-20 11:09:33+00:00
eatingdrinking,complete,2011-06-20 11:17:46+00:00
relax,start,2011-06-20 11:18:26+00:00
relax,complete,2011-06-20 11:49:29+00:00
personalhygiene,start,2011-06-20 11:55:37+00:00
personalhygiene,complete,2011-06-20 12:40:08+00:00
outdoors,start,2011-06-20 12:43:28+00:00
outdoors,complete,2011-06-20 14:22:21+00:00
relax,start,2011-06-20 14:28:23+00:00
relax,complete,2011-06-20 14:46:17+00:00
outdoors,start,2011-06-20 14:47:16+00:00
outdoors,complete,2011-06-20 15:05:03+00:00
sleep,start,2011-06-20 15:08:21+00:00
sleep,complete,2011-06-20 17:46:31+00:00
toilet,start,2011-06-20 17:49:00+00:00
toilet,complete,2011-06-20 17:51:36+00:00
work,start,2011-06-20 18:05:52+00:00
work,complete,2011-06-20 18:13:00+00:00
relax,start,2011-06-20 18:15:08+00:00
relax,complete,2011-06-20 18:36:36+00:00
mealpreperation,start,2011-06-20 18:38:14+00:00
mealpreperation,complete,2011-06-20 18:53:32+00:00
eatingdrinking,start,2011-06-20 18:53:44+00:00
eatingdrinking,complete,2011-06-20 19:07:09+00:00
relax,start,2011-06-20 19:08:20+00:00
relax,complete,2011-06-20 19:58:42+00:00
cleaning,start,2011-06-20 19:59:11+00:00
cleaning,complete,2011-06-20 20:06:14+00:00
relax,start,2011-06-20 20:14:47+00:00
relax,complete,2011-06-20 20:42:13+00:00
personalhygiene,start,2011-06-20 20:43:22+00:00
personalhygiene,complete,2011-06-20 20:57:22+00:00
groom,start,2011-06-20 21:07:39+00:00
groom,complete,2011-06-20 21:17:28+00:00
personalhygiene,start,2011-06-20 21:21:50+00:00
personalhygiene,complete,2011-06-20 21:47:38+00:00
sleep,start,2011-06-20 21:48:26+00:00
sleep,complete,2011-06-21 03:47:30+00:00
End,start,2011-06-21 03:47:30+00:00
End,complete,2011-06-21 03:47:30+00:00
Start,start,2011-06-21 03:47:55+00:00
Start,complete,2011-06-21 03:47:55+00:00
toilet,start,2011-06-21 03:47:55+00:00
toilet,complete,2011-06-21 03:50:11+00:00
sleep,start,2011-06-21 03:50:21+00:00
sleep,complete,2011-06-21 09:00:48+00:00
toilet,start,2011-06-21 09:01:53+00:00
toilet,complete,2011-06-21 09:04:53+00:00
sleep,start,2011-06-21 09:06:38+00:00
sleep,complete,2011-06-21 09:48:30+00:00
relax,start,2011-06-21 09:49:39+00:00
relax,complete,2011-06-21 10:03:53+00:00
mealpreperation,start,2011-06-21 10:05:07+00:00
mealpreperation,complete,2011-06-21 10:23:25+00:00
work,start,2011-06-21 10:26:31+00:00
work,complete,2011-06-21 10:43:45+00:00
personalhygiene,start,2011-06-21 10:48:13+00:00
personalhygiene,complete,2011-06-21 11:26:16+00:00
toilet,start,2011-06-21 11:31:13+00:00
toilet,complete,2011-06-21 11:36:29+00:00
outdoors,start,2011-06-21 11:37:25+00:00
outdoors,complete,2011-06-21 14:36:37+00:00
toilet,start,2011-06-21 14:37:39+00:00
toilet,complete,2011-06-21 14:42:13+00:00
relax,start,2011-06-21 14:48:20+00:00
relax,complete,2011-06-21 17:49:07+00:00
toilet,start,2011-06-21 17:59:34+00:00
toilet,complete,2011-06-21 18:02:59+00:00
snack,start,2011-06-21 18:07:59+00:00
snack,complete,2011-06-21 18:22:33+00:00
relax,start,2011-06-21 18:23:00+00:00
relax,complete,2011-06-21 18:52:24+00:00
mealpreperation,start,2011-06-21 18:52:27+00:00
mealpreperation,complete,2011-06-21 19:09:39+00:00
relax,start,2011-06-21 19:09:48+00:00
relax,complete,2011-06-21 20:06:57+00:00
cleaning,start,2011-06-21 20:07:01+00:00
cleaning,complete,2011-06-21 20:10:50+00:00
personalhygiene,start,2011-06-21 20:12:28+00:00
personalhygiene,complete,2011-06-21 20:32:55+00:00
read,start,2011-06-21 20:33:03+00:00
read,complete,2011-06-21 20:54:16+00:00
personalhygiene,start,2011-06-21 20:59:34+00:00
personalhygiene,complete,2011-06-21 21:18:10+00:00
sleep,start,2011-06-21 21:18:30+00:00
sleep,complete,2011-06-22 03:04:37+00:00
End,start,2011-06-22 03:04:37+00:00
End,complete,2011-06-22 03:04:37+00:00
Start,start,2011-06-22 03:05:00+00:00
Start,complete,2011-06-22 03:05:00+00:00
toilet,start,2011-06-22 03:05:00+00:00
toilet,complete,2011-06-22 03:08:00+00:00
sleep,start,2011-06-22 03:08:10+00:00
sleep,complete,2011-06-22 06:54:32+00:00
toilet,start,2011-06-22 06:54:48+00:00
toilet,complete,2011-06-22 07:00:18+00:00
sleep,start,2011-06-22 07:01:43+00:00
sleep,complete,2011-06-22 10:38:23+00:00
toilet,start,2011-06-22 10:39:21+00:00
toilet,complete,2011-06-22 10:43:01+00:00
dress,start,2011-06-22 10:43:04+00:00
dress,complete,2011-06-22 10:46:11+00:00
personalhygiene,start,2011-06-22 10:46:13+00:00
personalhygiene,complete,2011-06-22 10:49:01+00:00
mealpreperation,start,2011-06-22 10:49:51+00:00
mealpreperation,complete,2011-06-22 11:02:44+00:00
eatingdrinking,start,2011-06-22 11:02:45+00:00
eatingdrinking,complete,2011-06-22 11:19:01+00:00
relax,start,2011-06-22 11:20:32+00:00
relax,complete,2011-06-22 13:58:43+00:00
toilet,start,2011-06-22 13:59:28+00:00
toilet,complete,2011-06-22 14:03:17+00:00
work,start,2011-06-22 14:03:18+00:00
work,complete,2011-06-22 14:47:03+00:00
snack,start,2011-06-22 14:49:22+00:00
snack,complete,2011-06-22 14:52:29+00:00
relax,start,2011-06-22 14:52:34+00:00
relax,complete,2011-06-22 15:31:19+00:00
sleep,start,2011-06-22 15:32:53+00:00
sleep,complete,2011-06-22 16:51:12+00:00
toilet,start,2011-06-22 16:52:23+00:00
toilet,complete,2011-06-22 16:54:06+00:00
personalhygiene,start,2011-06-22 17:04:48+00:00
personalhygiene,complete,2011-06-22 17:42:15+00:00
outdoors,start,2011-06-22 17:53:29+00:00
outdoors,complete,2011-06-22 18:13:00+00:00
snack,start,2011-06-22 18:13:32+00:00
snack,complete,2011-06-22 18:18:10+00:00
relax,start,2011-06-22 18:18:21+00:00
relax,complete,2011-06-22 18:53:11+00:00
mealpreperation,start,2011-06-22 18:53:22+00:00
mealpreperation,complete,2011-06-22 19:08:46+00:00
eatingdrinking,start,2011-06-22 19:10:49+00:00
eatingdrinking,complete,2011-06-22 19:31:17+00:00
cleaning,start,2011-06-22 19:31:35+00:00
cleaning,complete,2011-06-22 19:38:28+00:00
relax,start,2011-06-22 19:38:40+00:00
relax,complete,2011-06-22 20:31:13+00:00
snack,start,2011-06-22 20:31:20+00:00
snack,complete,2011-06-22 20:36:06+00:00
work,start,2011-06-22 21:09:53+00:00
work,complete,2011-06-22 21:18:16+00:00
relax,start,2011-06-22 21:19:35+00:00
relax,complete,2011-06-22 21:58:51+00:00
personalhygiene,start,2011-06-22 22:07:36+00:00
personalhygiene,complete,2011-06-22 22:31:54+00:00
